Date,EU HY OAS
2022-10-31,480.738
2022-10-28,497.928
2022-10-27,515.061
2022-10-26,514.567
2022-10-25,519.831
2022-10-24,522.961
2022-10-21,523.629
2022-10-20,508.951
2022-10-19,503.431
2022-10-18,507.188
2022-10-17,513.984
2022-10-14,517.609
2022-10-13,527.003
2022-10-12,523.912
2022-10-11,514.529
2022-10-10,496.795
2022-10-07,491.115
2022-10-06,491.052
2022-10-05,499.438
2022-10-04,508.395
2022-10-03,534.95
2022-09-30,519.1
2022-09-29,519.721
2022-09-28,500.058
2022-09-27,469.687
2022-09-26,473.808
2022-09-23,461.817
2022-09-22,459.013
2022-09-21,457.145
2022-09-20,455.82
2022-09-19,455.34
2022-09-16,459.931
2022-09-15,443.358
2022-09-14,445.725
2022-09-13,438.382
2022-09-12,441.781
2022-09-09,450.298
2022-09-08,459.706
2022-09-07,476.19
2022-09-06,474.341
2022-09-05,482.624
2022-09-02,478.165
2022-09-01,477.64
2022-08-31,455.977
2022-08-30,442.306
2022-08-29,429.616
2022-08-26,438.068
2022-08-25,446.984
2022-08-24,446.734
2022-08-23,453.474
2022-08-22,446.28
2022-08-19,438.152
2022-08-18,438.364
2022-08-17,435.056
2022-08-16,434.612
2022-08-15,435.371
2022-08-12,431.549
2022-08-11,438.876
2022-08-10,450.381
2022-08-09,447.75
2022-08-08,451.97
2022-08-05,452.418
2022-08-04,463.244
2022-08-03,467.072
2022-08-02,477.459
2022-08-01,480.329
2022-07-29,489.072
2022-07-28,499.387
2022-07-27,496.62
2022-07-26,502.176
2022-07-25,492.677
2022-07-22,502.116
2022-07-21,500.085
2022-07-20,505.345
2022-07-19,531.664
2022-07-18,552.059
2022-07-15,562.203
2022-07-14,560.596
2022-07-13,560.047
2022-07-12,563.071
2022-07-11,558.723
2022-07-08,558.457
2022-07-07,570.286
2022-07-06,587.621
2022-07-05,581.106
2022-07-04,568.747
2022-07-01,576.962
2022-06-30,565.584
2022-06-29,526.233
2022-06-28,505.294
2022-06-27,503.374
2022-06-24,510.824
2022-06-23,504.746
2022-06-22,477.771
2022-06-21,463.798
2022-06-20,468.491
2022-06-17,473.319
2022-06-16,462.877
2022-06-15,448.33
2022-06-14,433.95
2022-06-13,433.358
2022-06-10,409.449
2022-06-09,395.297
2022-06-08,392.31
2022-06-07,393.389
2022-06-06,389.52
2022-06-03,392.37
2022-06-02,396.997
2022-06-01,403.77
2022-05-31,408.636
2022-05-30,412.76
2022-05-27,424.214
2022-05-26,432.675
2022-05-25,441.768
2022-05-24,440.378
2022-05-23,431.899
2022-05-20,436.741
2022-05-19,433.02
2022-05-18,421.839
2022-05-17,420.539
2022-05-16,435.823
2022-05-13,438.419
2022-05-12,444.14
2022-05-11,430.921
2022-05-10,439.897
2022-05-09,442.642
2022-05-06,417.754
2022-05-05,402.022
2022-05-04,400.231
2022-05-03,390.031
2022-05-02,385.374
2022-04-29,382.981
2022-04-28,379.955
2022-04-27,385.767
2022-04-26,367.592
2022-04-25,360.77
2022-04-22,340.316
2022-04-21,342.701
2022-04-20,353.534
2022-04-19,349.873
2022-04-14,345.118
2022-04-13,346.9
2022-04-12,340.565
2022-04-11,328.835
2022-04-08,327.887
2022-04-07,333.541
2022-04-06,331.847
2022-04-05,324.203
2022-04-04,331.481
2022-04-01,334.233
2022-03-31,337.833
2022-03-30,330.254
2022-03-29,337.5
2022-03-28,352.053
2022-03-25,351.879
2022-03-24,356.587
2022-03-23,360.612
2022-03-22,358.025
2022-03-21,361.713
2022-03-18,374.282
2022-03-17,380.158
2022-03-16,388.553
2022-03-15,401.157
2022-03-14,391.042
2022-03-11,393.682
2022-03-10,402.854
2022-03-09,412.924
2022-03-08,424.299
2022-03-07,424.176
2022-03-04,399.809
2022-03-03,377.353
2022-03-02,377.298
2022-03-01,382.026
2022-02-28,376.469
2022-02-25,358.198
2022-02-24,374.842
2022-02-23,346.367
2022-02-22,351.534
2022-02-21,347.123
2022-02-18,344.352
2022-02-17,340.193
2022-02-16,335.912
2022-02-15,338.35
2022-02-14,339.286
2022-02-11,328.046
2022-02-10,321.54
2022-02-09,329.532
2022-02-08,336.142
2022-02-07,350.35
2022-02-04,332.929
2022-02-03,300.399
2022-02-02,299.38
2022-02-01,307.099
2022-01-31,308.589
2022-01-28,304.345
2022-01-27,292.689
2022-01-26,288.585
2022-01-25,293.385
2022-01-24,290.127
2022-01-21,280.511
2022-01-20,273.669
2022-01-19,274.24
2022-01-18,272.141
2022-01-17,267.268
2022-01-14,266.178
2022-01-13,265.993
2022-01-12,267.998
2022-01-11,264.927
2022-01-10,264.891
2022-01-07,262.356
2022-01-06,261.982
2022-01-05,261.214
2022-01-04,262.745
2022-01-03,270.667
2021-12-31,271.243
2021-12-30,266.521
2021-12-29,266.436
2021-12-28,268.304
2021-12-27,268.411
2021-12-24,267.768
2021-12-23,272.44
2021-12-22,273.553
2021-12-21,275.275
2021-12-20,276.36
2021-12-17,274.272
2021-12-16,274.705
2021-12-15,275.39
2021-12-14,275.587
2021-12-13,276.066
2021-12-10,276.463
2021-12-09,276.184
2021-12-08,278.543
2021-12-07,280.801
2021-12-06,288.063
2021-12-03,289.66
2021-12-02,295.128
2021-12-01,296.743
2021-11-30,303.272
2021-11-29,296.273
2021-11-26,294.36
2021-11-25,277.739
2021-11-24,276.177
2021-11-23,276.18
2021-11-22,273.858
2021-11-19,268.804
2021-11-18,266.411
2021-11-17,266.811
2021-11-16,267.113
2021-11-15,270.7
2021-11-12,269.322
2021-11-11,268.872
2021-11-10,269.445
2021-11-09,264.327
2021-11-08,265.687
2021-11-05,268.594
2021-11-04,261.209
2021-11-03,269.067
2021-11-02,269.318
2021-11-01,266.628
2021-10-29,266.773
2021-10-28,266.54
2021-10-27,262.943
2021-10-26,264.578
2021-10-25,266.844
2021-10-22,265.36
2021-10-21,265.511
2021-10-20,263.098
2021-10-19,263.993
2021-10-18,264.164
2021-10-15,263.817
2021-10-14,265.13
2021-10-13,271.334
2021-10-12,273.742
2021-10-11,267.099
2021-10-08,261.72
2021-10-07,261.558
2021-10-06,263.162
2021-10-05,253.249
