Date,EU IG OAS
2022-10-31,121.777
2022-10-28,125.926
2022-10-27,127.876
2022-10-26,129.098
2022-10-25,130.468
2022-10-24,129.479
2022-10-21,128.434
2022-10-20,123.583
2022-10-19,123.324
2022-10-18,119.796
2022-10-17,117.694
2022-10-14,117.299
2022-10-13,117.404
2022-10-12,110.808
2022-10-11,106.776
2022-10-10,105.122
2022-10-07,104.118
2022-10-06,104.891
2022-10-05,111.667
2022-10-04,110.66
2022-10-03,115.142
2022-09-30,111.011
2022-09-29,110.349
2022-09-28,103.102
2022-09-27,95.6
2022-09-26,95.831
2022-09-23,97.142
2022-09-22,100.379
2022-09-21,99.159
2022-09-20,101.478
2022-09-19,100.833
2022-09-16,100.761
2022-09-15,96.025
2022-09-14,92.847
2022-09-13,92.444
2022-09-12,95.137
2022-09-09,95.897
2022-09-08,100.864
2022-09-07,98.714
2022-09-06,95.333
2022-09-05,94.333
2022-09-02,98.534
2022-09-01,100.459
2022-08-31,96.132
2022-08-30,90.69
2022-08-29,86.296
2022-08-26,86.13
2022-08-25,89.858
2022-08-24,89.489
2022-08-23,91.553
2022-08-22,90.433
2022-08-19,90.52
2022-08-18,89.749
2022-08-17,88.651
2022-08-16,84.435
2022-08-15,82.929
2022-08-12,83.715
2022-08-11,82.65
2022-08-10,84.565
2022-08-09,85.104
2022-08-08,86.347
2022-08-05,86.159
2022-08-04,88.611
2022-08-03,89.777
2022-08-02,88.964
2022-08-01,88.875
2022-07-29,92.328
2022-07-28,93.344
2022-07-27,97.864
2022-07-26,97.913
2022-07-25,96.571
2022-07-22,98.371
2022-07-21,103.898
2022-07-20,105.604
2022-07-19,111.956
2022-07-18,114.4
2022-07-15,114.915
2022-07-14,116.079
2022-07-13,117.696
2022-07-12,113.232
2022-07-11,113.749
2022-07-08,116.932
2022-07-07,122.872
2022-07-06,126.493
2022-07-05,126.682
2022-07-04,130.024
2022-07-01,132.0
2022-06-30,130.598
2022-06-29,123.995
2022-06-28,121.071
2022-06-27,119.598
2022-06-24,120.624
2022-06-23,119.446
2022-06-22,114.851
2022-06-21,112.348
2022-06-20,113.897
2022-06-17,114.893
2022-06-16,112.444
2022-06-15,106.743
2022-06-14,99.591
2022-06-13,102.928
2022-06-10,96.969
2022-06-09,89.676
2022-06-08,88.217
2022-06-07,87.259
2022-06-06,86.302
2022-06-03,86.283
2022-06-02,87.867
2022-06-01,89.114
2022-05-31,90.076
2022-05-30,90.507
2022-05-27,90.175
2022-05-26,92.896
2022-05-25,94.673
2022-05-24,96.514
2022-05-23,94.84
2022-05-20,94.244
2022-05-19,92.353
2022-05-18,90.371
2022-05-17,89.958
2022-05-16,90.004
2022-05-13,89.919
2022-05-12,88.154
2022-05-11,85.563
2022-05-10,81.795
2022-05-09,80.619
2022-05-06,75.67
2022-05-05,73.423
2022-05-04,72.309
2022-05-03,70.693
2022-05-02,69.022
2022-04-29,70.415
2022-04-28,70.539
2022-04-27,72.816
2022-04-26,68.683
2022-04-25,66.572
2022-04-22,64.722
2022-04-21,63.195
2022-04-20,62.22
2022-04-19,58.841
2022-04-14,56.792
2022-04-13,59.179
2022-04-12,59.526
