Date,USD HY OAS
2022-10-31,472.284
2022-10-28,467.056
2022-10-27,493.411
2022-10-26,493.709
2022-10-25,494.462
2022-10-24,499.683
2022-10-21,506.042
2022-10-20,499.993
2022-10-19,502.034
2022-10-18,501.458
2022-10-17,514.057
2022-10-14,524.164
2022-10-13,529.41
2022-10-12,534.466
2022-10-11,527.147
2022-10-10,505.579
2022-10-07,507.459
2022-10-06,498.434
2022-10-05,506.404
2022-10-04,517.512
2022-10-03,545.028
2022-09-30,538.689
2022-09-29,549.864
2022-09-28,543.625
2022-09-27,532.39
2022-09-26,515.41
2022-09-23,505.767
2022-09-22,489.201
2022-09-21,487.204
2022-09-20,489.146
2022-09-19,489.987
2022-09-16,493.576
2022-09-15,480.272
2022-09-14,474.95
2022-09-13,467.865
2022-09-12,460.467
2022-09-09,469.223
2022-09-08,486.001
2022-09-07,502.282
2022-09-06,501.531
2022-09-02,508.725
2022-09-01,519.155
2022-08-31,510.653
2022-08-30,506.85
2022-08-29,492.382
2022-08-26,483.268
2022-08-25,480.592
2022-08-24,482.55
2022-08-23,486.627
2022-08-22,481.723
2022-08-19,469.607
2022-08-18,464.001
2022-08-17,456.196
2022-08-16,454.268
2022-08-15,454.516
2022-08-12,449.542
2022-08-11,450.604
2022-08-10,462.139
2022-08-09,473.482
2022-08-08,470.499
2022-08-05,468.079
2022-08-04,476.063
2022-08-03,479.783
2022-08-02,481.547
2022-08-01,502.722
2022-07-29,505.118
2022-07-28,520.604
2022-07-27,521.013
2022-07-26,524.007
2022-07-25,520.273
2022-07-22,528.974
2022-07-21,525.787
2022-07-20,518.77
2022-07-19,531.843
2022-07-18,547.461
2022-07-15,560.599
2022-07-14,567.26
2022-07-13,560.517
2022-07-12,561.013
2022-07-11,558.825
2022-07-08,552.291
2022-07-07,567.959
2022-07-06,589.784
2022-07-05,609.229
2022-07-01,602.7
2022-06-30,584.405
2022-06-29,562.2
2022-06-28,536.895
2022-06-27,523.391
2022-06-24,528.807
2022-06-23,544.636
2022-06-22,538.792
2022-06-21,518.204
2022-06-17,522.168
2022-06-16,527.34
2022-06-15,498.751
2022-06-14,492.04
2022-06-13,480.357
2022-06-10,453.769
2022-06-09,451.575
2022-06-08,442.589
2022-06-07,439.594
2022-06-06,429.339
2022-06-03,431.993
2022-06-02,426.731
2022-06-01,428.219
2022-05-31,433.913
2022-05-27,444.178
2022-05-26,461.735
2022-05-25,488.263
2022-05-24,507.137
2022-05-23,500.197
2022-05-20,509.305
2022-05-19,505.272
2022-05-18,498.422
2022-05-17,476.939
2022-05-16,488.382
2022-05-13,482.23
2022-05-12,486.341
2022-05-11,470.157
2022-05-10,465.838
2022-05-09,462.655
2022-05-06,427.809
2022-05-05,422.266
2022-05-04,418.499
2022-05-03,417.516
2022-05-02,421.978
2022-04-29,411.715
2022-04-28,409.518
2022-04-27,410.92
2022-04-26,416.018
2022-04-25,405.007
2022-04-22,392.964
2022-04-21,382.848
2022-04-20,385.757
2022-04-19,382.401
2022-04-18,392.621
2022-04-15,388.276
2022-04-14,388.213
2022-04-13,397.784
2022-04-12,398.266
2022-04-11,391.314
2022-04-08,380.167
2022-04-07,377.724
2022-04-06,373.091
2022-04-05,358.511
2022-04-04,365.247
2022-04-01,367.383
2022-03-31,373.51
2022-03-30,376.235
2022-03-29,374.642
2022-03-28,383.066
2022-03-25,383.479
2022-03-24,391.844
2022-03-23,401.016
2022-03-22,391.153
2022-03-21,393.379
2022-03-18,404.955
2022-03-17,409.854
2022-03-16,420.898
2022-03-15,444.786
2022-03-14,445.321
2022-03-11,439.298
2022-03-10,432.55
2022-03-09,423.999
2022-03-08,440.541
2022-03-07,436.439
2022-03-04,424.921
2022-03-03,409.126
2022-03-02,404.248
2022-03-01,421.637
2022-02-28,411.552
2022-02-25,398.243
2022-02-24,412.958
2022-02-23,406.624
2022-02-22,410.049
2022-02-18,413.282
