Date,USD IG OAS
2022-10-31,183.566
2022-10-28,184.495
2022-10-27,190.219
2022-10-26,188.05
2022-10-25,186.661
2022-10-24,188.976
2022-10-21,191.853
2022-10-20,189.815
2022-10-19,191.912
2022-10-18,190.877
2022-10-17,192.386
2022-10-14,193.894
2022-10-13,192.214
2022-10-12,193.576
2022-10-11,188.651
2022-10-10,182.114
2022-10-07,183.035
2022-10-06,179.457
2022-10-05,181.169
2022-10-04,183.068
2022-10-03,184.954
2022-09-30,187.504
2022-09-29,190.67
2022-09-28,186.65
2022-09-27,187.675
2022-09-26,176.575
2022-09-23,170.314
2022-09-22,165.658
2022-09-21,163.179
2022-09-20,163.625
2022-09-19,162.189
2022-09-16,163.959
2022-09-15,161.286
2022-09-14,161.269
2022-09-13,163.549
2022-09-12,162.767
2022-09-09,164.175
2022-09-08,166.29
2022-09-07,168.376
2022-09-06,168.683
2022-09-02,167.235
2022-09-01,165.13
2022-08-31,163.129
2022-08-30,161.103
2022-08-29,160.535
2022-08-26,158.273
2022-08-25,156.642
2022-08-24,158.845
2022-08-23,160.03
2022-08-22,162.348
2022-08-19,160.774
2022-08-18,159.151
2022-08-17,158.082
2022-08-16,158.323
2022-08-15,157.11
2022-08-12,155.994
2022-08-11,160.812
2022-08-10,164.093
2022-08-09,167.759
2022-08-08,167.052
2022-08-05,165.068
2022-08-04,164.466
2022-08-03,165.19
2022-08-02,165.873
2022-08-01,168.963
2022-07-29,166.771
2022-07-28,169.393
2022-07-27,169.263
2022-07-26,172.43
2022-07-25,172.232
2022-07-22,171.219
2022-07-21,170.469
2022-07-20,170.534
2022-07-19,170.62
2022-07-18,173.473
2022-07-15,173.843
2022-07-14,175.873
2022-07-13,174.72
2022-07-12,175.657
2022-07-11,173.824
2022-07-08,170.423
2022-07-07,175.111
2022-07-06,179.53
2022-07-05,183.541
2022-07-01,180.88
2022-06-30,178.375
2022-06-29,174.964
2022-06-28,173.195
2022-06-27,170.886
2022-06-24,169.244
2022-06-23,171.865
2022-06-22,170.974
2022-06-21,165.666
2022-06-17,165.031
2022-06-16,168.569
2022-06-15,162.855
2022-06-14,161.863
2022-06-13,159.97
2022-06-10,156.008
2022-06-09,153.397
2022-06-08,150.658
2022-06-07,150.118
2022-06-06,149.055
2022-06-03,151.059
2022-06-02,150.354
2022-06-01,151.256
2022-05-31,151.302
2022-05-27,154.175
2022-05-26,156.575
2022-05-25,162.118
2022-05-24,169.009
2022-05-23,171.017
2022-05-20,172.439
2022-05-19,170.569
2022-05-18,169.79
2022-05-17,165.162
2022-05-16,166.46
2022-05-13,164.721
2022-05-12,163.351
2022-05-11,161.614
2022-05-10,160.962
2022-05-09,162.853
2022-05-06,155.771
2022-05-05,155.275
2022-05-04,153.188
2022-05-03,155.174
2022-05-02,157.837
2022-04-29,155.527
2022-04-28,154.146
2022-04-27,154.403
2022-04-26,155.258
2022-04-25,154.291
2022-04-22,154.166
2022-04-21,151.072
2022-04-20,148.345
2022-04-19,147.206
2022-04-18,147.658
2022-04-15,144.069
2022-04-14,144.014
2022-04-13,144.745
2022-04-12,144.591
2022-04-11,141.603
2022-04-08,138.31
2022-04-07,137.237
2022-04-06,137.356
2022-04-05,134.059
2022-04-04,135.016
2022-04-01,135.778
2022-03-31,137.556
2022-03-30,137.987
2022-03-29,136.43
2022-03-28,140.105
2022-03-25,141.215
2022-03-24,142.654
2022-03-23,145.715
2022-03-22,142.387
2022-03-21,144.039
2022-03-18,146.251
2022-03-17,148.544
2022-03-16,155.664
2022-03-15,164.401
2022-03-14,167.116
2022-03-11,166.432
2022-03-10,165.748
2022-03-09,161.638
2022-03-08,166.73
2022-03-07,161.857
2022-03-04,155.76
2022-03-03,148.661
2022-03-02,147.416
2022-03-01,150.046
2022-02-28,145.776
2022-02-25,143.043
2022-02-24,145.13
2022-02-23,142.897
2022-02-22,141.3
2022-02-18,140.487
2022-02-17,137.821
2022-02-16,134.147
2022-02-15,131.264
2022-02-14,131.064
2022-02-11,130.29
2022-02-10,125.681
2022-02-09,125.622
2022-02-08,126.906
2022-02-07,127.84
2022-02-04,126.965
2022-02-03,125.83
2022-02-02,124.388
2022-02-01,124.815
2022-01-31,126.432
2022-01-28,126.306
2022-01-27,124.213
2022-01-26,120.633
2022-01-25,122.848
2022-01-24,122.483
2022-01-21,120.834
2022-01-20,119.599
2022-01-19,117.523
2022-01-18,116.255
2022-01-14,115.256
2022-01-13,115.936
2022-01-12,116.614
2022-01-11,114.104
2022-01-10,112.923
2022-01-07,112.085
2022-01-06,111.455
2022-01-05,111.308
2022-01-04,113.078
2022-01-03,112.951
2021-12-31,111.895
2021-12-30,112.8
2021-12-29,112.524
2021-12-28,113.008
2021-12-27,113.636
2021-12-23,114.521
2021-12-22,114.908
2021-12-21,117.115
2021-12-20,119.913
2021-12-17,119.058
2021-12-16,113.733
2021-12-15,118.294
2021-12-14,118.505
2021-12-13,113.887
2021-12-10,116.513
2021-12-09,117.557
2021-12-08,116.646
2021-12-07,115.309
2021-12-06,119.124
2021-12-03,112.976
2021-12-02,120.878
2021-12-01,113.659
2021-11-30,120.651
2021-11-29,113.245
2021-11-26,112.933
2021-11-24,110.495
2021-11-23,112.865
2021-11-22,114.348
2021-11-19,114.27
2021-11-18,110.642
2021-11-17,107.633
2021-11-16,112.227
2021-11-15,113.71
2021-11-12,108.209
2021-11-10,115.052
2021-11-09,106.675
2021-11-08,107.92
2021-11-05,81.648
2021-11-04,82.081
