Date,MSCI EU Index P/B ratio,Volume,SMAVG (15)
2022-10-31,1.7076,1459630720.0,1616499584.0
2022-10-28,1.7018,1400391680.0,1625317888.0
2022-10-27,1.6993,1730749824.0,1628238080.0
2022-10-26,1.7025,1596387968.0,1612047104.0
2022-10-25,1.6924,1476414976.0,1607072512.0
2022-10-24,1.668,1482437504.0,1635759488.0
2022-10-21,1.6455,1673968256.0,1676139264.0
2022-10-20,1.6552,1637792000.0,1714557568.0
2022-10-19,1.6515,1724474880.0,1739856256.0
2022-10-18,1.6597,1675448192.0,1787897472.0
2022-10-17,1.6538,1473688576.0,1810797952.0
2022-10-14,1.6245,1745684352.0,1846874496.0
2022-10-13,1.6161,1901006464.0,1857727488.0
2022-10-12,1.6044,1729929088.0,1832940544.0
2022-10-11,1.6123,1539488384.0,1827553664.0
2022-10-10,1.6216,1591906176.0,1853384320.0
2022-10-07,1.6282,1444194432.0,1799547648.0
2022-10-06,1.643,1487886080.0,1970964736.0
2022-10-05,1.6543,1521767680.0,1991418112.0
2022-10-04,1.6704,1906720768.0,1994349184.0
2022-10-03,1.6197,2088134400.0,1976810752.0
2022-09-30,1.6079,2250241792.0,1947272448.0
2022-09-29,1.6117,2017272320.0,1899042048.0
2022-09-28,1.6385,2445093888.0,1871664512.0
2022-09-27,1.633,2018955648.0,1823286400.0
2022-09-26,1.6362,2014836480.0,1777343232.0
2022-09-23,1.6425,1908478080.0,1722955648.0
2022-09-22,1.6816,1529203584.0,1689718272.0
2022-09-21,1.7115,1649124992.0,1684784000.0
2022-09-20,1.6969,1926948224.0,1721331328.0
2022-09-19,1.7171,784355392.0,1692640000.0
2022-09-16,1.7188,4015451904.0,1683696640.0
2022-09-15,1.7458,1794685696.0,1501627008.0
2022-09-14,1.7578,1565734528.0,1456460160.0
2022-09-13,1.7725,1643645184.0,1430884992.0
2022-09-12,1.7993,1645058944.0,1403076992.0
2022-09-09,1.7686,1526786176.0,1381324288.0
2022-09-08,1.7426,1606609792.0,1372685312.0
2022-09-07,1.7341,1719421056.0,1330844544.0
2022-09-06,1.7445,1329809024.0,1290789888.0
2022-09-05,1.7412,1199021312.0,1278730240.0
2022-09-02,1.751,1409918592.0,1247974144.0
2022-09-01,1.7163,1455188736.0,1238764160.0
2022-08-31,1.7393,2197335808.0,1222569216.0
2022-08-30,1.7607,1496577792.0,1161704448.0
2022-08-29,1.7722,650205888.0,1139626112.0
2022-08-26,1.7866,1284405888.0,1176746880.0
2022-08-25,1.8168,1117183616.0,1177614592.0
2022-08-24,1.8108,1182107008.0,1213527552.0
2022-08-23,1.8081,1226526080.0,1225095552.0
2022-08-22,1.8158,1318768000.0,1228799104.0
2022-08-19,1.8323,1397200384.0,1222628992.0
2022-08-18,1.8448,978998272.0,1256976768.0
2022-08-17,1.8377,1118602496.0,1300671232.0
2022-08-16,1.8535,1148914560.0,1328867456.0
2022-08-15,1.8505,737678400.0,1348054656.0
2022-08-12,1.8437,1271769088.0,1389309184.0
2022-08-11,1.8414,1212265088.0,1404069760.0
2022-08-10,1.8398,1284364800.0,1455703808.0
2022-08-09,1.8252,1165402624.0,1475265792.0
2022-08-08,1.8365,1207016960.0,1502758400.0
2022-08-05,1.8235,1297421824.0,1514351104.0
2022-08-04,1.8376,1655878016.0,1549709312.0
2022-08-03,1.835,1355627136.0,1555581312.0
2022-08-02,1.8267,1282078208.0,1561625600.0
2022-08-01,1.8315,1226217728.0,1593038208.0
2022-07-29,1.8348,1912416640.0,1595620480.0
2022-07-28,1.8125,1634415872.0,1560449664.0
2022-07-27,1.794,1541545216.0,1572877568.0
2022-07-26,1.786,1436722560.0,1587690368.0
2022-07-25,1.7852,1356495232.0,1615715840.0
2022-07-22,1.782,1493177728.0,1593932416.0
2022-07-21,1.7773,1986776704.0,1590814464.0
2022-07-20,1.7701,1577794816.0,1592284160.0
2022-07-19,1.7769,1577791232.0,1580154496.0
2022-07-18,1.7543,1380907904.0,1565121408.0
2022-07-15,1.7385,1827795328.0,1570779008.0
2022-07-14,1.7086,1743957248.0,1556737408.0
2022-07-13,1.7348,1446292352.0,1559930496.0
2022-07-12,1.7524,1753266432.0,1569564544.0
2022-07-11,1.7439,1264952576.0,1538393984.0
2022-07-08,1.7541,1384853120.0,1537916160.0
2022-07-07,1.745,1820834560.0,1687266304.0
2022-07-06,1.7134,1763738624.0,1693178112.0
2022-07-05,1.686,1857104512.0,1695904512.0
2022-07-04,1.7223,1029743936.0,1686808576.0
2022-07-01,1.7092,1446407808.0,1748824448.0
2022-06-30,1.7091,2008820992.0,1794683776.0
2022-06-29,1.7575,1395850112.0,1763484160.0
2022-06-28,1.7672,1352295808.0,1764075520.0
2022-06-27,1.7625,1465772288.0,1763563648.0
2022-06-24,1.7546,1617170304.0,1746845952.0
2022-06-23,1.7089,1791853312.0,1676970496.0
2022-06-22,1.7242,1590803200.0,1595650944.0
2022-06-21,1.7363,1285709312.0,1590598784.0
2022-06-20,1.7304,1257783552.0,1741421952.0
2022-06-17,1.7134,3625106432.0,1740899712.0
2022-06-16,1.7164,1909512448.0,1592346624.0
2022-06-15,1.7553,1804633856.0,1549172864.0
2022-06-14,1.7316,1720664704.0,1533039104.0
2022-06-13,1.753,1959982208.0,1529185152.0
2022-06-10,1.7949,2134298880.0,1495364864.0
2022-06-09,1.843,1540826752.0,1462437632.0
2022-06-08,1.8683,1404719360.0,1477500544.0
2022-06-07,1.8788,1344618624.0,1486766208.0
2022-06-06,1.8855,1215006336.0,1495632128.0
2022-06-03,1.8683,569038208.0,1514171392.0
2022-06-02,1.8735,572061120.0,1575725184.0
2022-06-01,1.8656,1515019136.0,1664141696.0
2022-05-31,1.8731,3548056832.0,1697623168.0
2022-05-30,1.8862,1249950848.0,1574114944.0
2022-05-27,1.8748,1396809216.0,1601823104.0
2022-05-26,1.8488,1261906688.0,1635665664.0
2022-05-25,1.8343,1562627968.0,1677375616.0
2022-05-24,1.8214,1662855680.0,1672550272.0
2022-05-23,1.8409,1452676608.0,1673367168.0
2022-05-20,1.8181,1640390400.0,1638931328.0
2022-05-19,1.805,1766771456.0,1656775296.0
2022-05-18,1.8311,1543703424.0,1649956608.0
2022-05-17,1.8512,1477607296.0,1671781376.0
2022-05-16,1.8266,1493096192.0,1699737600.0
2022-05-13,1.8302,1492345600.0,1712545408.0
2022-05-12,1.7915,1898307200.0,1718511360.0
