Date,S&P 500 Index P/B Ratio,Volume,SMAVG (15)
2022-10-31,3.881,846660160,740898368.0
2022-10-28,3.9101,743160640,724724544.0
2022-10-27,3.8161,831854592,725741632.0
2022-10-26,3.8395,760715392,713486976.0
2022-10-25,3.8681,705721792,705495424.0
2022-10-24,3.8062,677220096,708163712.0
2022-10-21,3.7615,902210688,714095552.0
2022-10-20,3.6743,676528320,719490560.0
2022-10-19,3.7037,622566976,720857664.0
2022-10-18,3.7286,678666496,728209728.0
2022-10-17,3.6865,718643392,728232960.0
2022-10-14,3.5914,736480576,727314944.0
2022-10-13,3.6784,840635072,726883776.0
2022-10-12,3.5853,645865088,713379520.0
2022-10-11,3.5956,726546304,713742016.0
2022-10-10,3.6192,604053184,705767552.0
2022-10-07,3.6465,758416448,706125504.0
2022-10-06,3.7516,648035072,795180608.0
2022-10-05,3.7904,640842240,797803520.0
2022-10-04,3.7981,745745600,801158656.0
2022-10-03,3.6853,766197440,802991168.0
2022-09-30,3.6019,983136384,790456960.0
2022-09-29,3.6681,697035072,763304832.0
2022-09-28,3.7472,732847360,758411520.0
2022-09-27,3.6749,679015232,750797760.0
2022-09-26,3.6827,704873408,748682176.0
2022-09-23,3.7189,730013184,740393728.0
2022-09-22,3.7841,638070784,734279552.0
2022-09-21,3.8163,651302720,749149184.0
2022-09-20,3.8828,606929216,742694592.0
2022-09-19,3.927,609422592,735892032.0
2022-09-16,3.8947,2094243200,737455360.0
2022-09-15,3.9228,687378048,630892928.0
2022-09-14,3.9677,691169472,616132352.0
2022-09-13,3.9543,773233088,600345664.0
2022-09-12,4.133,578184448,584538560.0
2022-09-09,4.0896,575854400,589092672.0
2022-09-08,4.0281,623635840,581448640.0
2022-09-07,4.0016,618640704,573048704.0
2022-09-06,3.9296,647281920,563953088.0
2022-09-02,3.946,580546176,551380544.0
2022-09-01,3.989,638301056,546583808.0
2022-08-31,3.9777,861114688,538904384.0
2022-08-30,4.009,554484416,521713504.0
2022-08-29,4.0537,504890272,519930176.0
2022-08-26,4.082,632873088,521768704.0
2022-08-25,4.2243,495806112,515740160.0
2022-08-24,4.1657,465969536,521350336.0
2022-08-23,4.1536,454368800,533831488.0
2022-08-22,4.1629,536127328,542568704.0
2022-08-19,4.2539,646495296,547791040.0
2022-08-18,4.3096,461194144,570703808.0
2022-08-17,4.2999,497636896,582626240.0
2022-08-16,4.3313,482206208,594917440.0
2022-08-15,4.3232,458693984,601084864.0
2022-08-12,4.3062,508595648,605181376.0
2022-08-11,4.2329,523109248,610896512.0
2022-08-10,4.2359,603251520,618283904.0
2022-08-09,4.1477,527734624,619492288.0
2022-08-08,4.1653,532468320,628302656.0
2022-08-05,4.1705,542444672,632375552.0
2022-08-04,4.1772,579958912,644401856.0
2022-08-03,4.1805,653186688,644357248.0
2022-08-02,4.1161,585426944,638203584.0
2022-08-01,4.1437,614462336,638075648.0
2022-07-29,4.1572,990186880,630851200.0
2022-07-28,4.0984,640030656,597139200.0
2022-07-27,4.0493,682004736,594265728.0
2022-07-26,3.9461,574718016,589845632.0
2022-07-25,3.9922,520141280,596195776.0
2022-07-22,3.9873,594322432,601899648.0
2022-07-21,4.0249,633920960,618710272.0
2022-07-20,3.9856,621376448,612229824.0
2022-07-19,3.9622,659890432,611693632.0
2022-07-18,3.8557,593561408,608077824.0
2022-07-15,3.8882,722839296,648731520.0
2022-07-14,3.8149,579289856,643957120.0
2022-07-13,3.8264,560881984,654757312.0
2022-07-12,3.8435,583507712,670378880.0
2022-07-11,3.8794,506095648,775607424.0
2022-07-08,3.9247,484507488,801424064.0
2022-07-07,3.9279,596928128,823676224.0
2022-07-06,3.87,615703552,831197568.0
2022-07-05,3.8562,669970304,846464064.0
2022-07-01,3.8528,605698752,848589184.0
2022-06-30,3.812,846482432,846644160.0
2022-06-29,3.7989,536713696,823172672.0
2022-06-28,3.8025,613334208,823657920.0
2022-06-27,3.8806,605653120,814998144.0
2022-06-24,3.8902,1203366656,808358080.0
2022-06-23,3.7749,651222912,765229760.0
2022-06-22,3.7392,741292736,761067648.0
2022-06-21,3.7441,795205696,811342272.0
2022-06-17,3.6552,2161936128,798781632.0
2022-06-16,3.6472,893345280,698592192.0
2022-06-15,3.7697,818290176,681652352.0
2022-06-14,3.7155,709747776,668872192.0
2022-06-13,3.7295,844701184,663653056.0
2022-06-10,3.8801,701847232,663649088.0
2022-06-09,3.9965,576523200,663833600.0
2022-06-08,4.0939,494409664,674224512.0
2022-06-07,4.1452,543992448,682922240.0
2022-06-06,4.1059,483437952,684064768.0
2022-06-03,4.093,506051936,695552064.0
2022-06-02,4.1614,556442432,716928512.0
2022-06-01,4.087,588790976,729477376.0
2022-05-31,4.1178,1495412096,742916032.0
2022-05-27,4.1453,606795840,696876352.0
2022-05-26,4.0452,659094336,704178880.0
2022-05-25,3.9663,639248128,713838656.0
2022-05-24,3.9292,626587520,721292096.0
2022-05-23,3.9614,631460928,722438720.0
2022-05-20,3.8893,844641856,728955712.0
2022-05-19,3.8887,704614848,734598400.0
2022-05-18,3.9116,732386432,734103872.0
2022-05-17,4.0763,624875968,730736768.0
2022-05-16,3.9957,561129792,735631104.0
2022-05-13,4.0115,655747840,746401088.0
2022-05-12,3.918,826698816,748801408.0
2022-05-11,3.9231,744675392,738255424.0
2022-05-10,3.9888,790371072,728639424.0
2022-05-09,3.979,804816704,714750720.0
2022-05-06,4.1108,716333440,695717824.0
2022-05-05,4.1343,803991488,693968512.0
2022-05-04,4.2871,751049664,676231744.0
2022-05-03,4.1628,643786624,663036800.0
2022-05-02,4.1428,729216064,662893952.0
2022-04-29,4.1177,929282240,652072384.0
2022-04-28,4.2717,697196928,632357376.0
2022-04-27,4.1685,681879104,633049216.0
2022-04-26,4.1599,698291136,628684096.0
2022-04-25,4.2804,722679552,620244480.0
2022-04-22,4.256,691753344,617474432.0
2022-04-21,4.3774,668508928,626590912.0
2022-04-20,4.443,600434752,618756096.0
2022-04-19,4.4457,582040512,618303296.0
2022-04-18,4.3755,519323200,614350592.0
2022-04-14,4.3764,690094592,613979200.0
2022-04-13,4.4302,537939712,603798592.0
2022-04-12,4.3813,553125376,607540032.0
2022-04-11,4.3963,641643584,614439808.0
2022-04-08,4.4934,566893248,616689536.0
2022-04-07,4.5053,633556800,720572608.0
2022-04-06,4.4877,707574528,722341568.0
2022-04-05,4.5317,616401856,728534208.0
2022-04-04,4.5894,571697472,736884224.0
2022-04-01,4.5594,681128640,746960576.0
2022-03-31,4.5455,828500672,743531968.0
2022-03-30,4.5784,550986432,731652224.0
2022-03-29,4.6075,593642496,747661248.0
2022-03-28,4.5517,522750144,769445632.0
2022-03-25,4.5426,513752320,793819712.0
2022-03-24,4.5194,537385664,809178560.0
2022-03-23,4.4556,594060992,819779584.0
2022-03-22,4.5109,656621824,829344256.0
