Date,US 3M Libor,USD OIS,USD 3M Libor - OIS
2022-10-31,4.46029,4.1704,0.28989
2022-10-28,4.43957,4.1416,0.29797
2022-10-27,4.41471,4.111,0.30371
2022-10-26,4.37386,4.0902,0.28366
2022-10-25,4.358,4.0911,0.2669
2022-10-24,4.32686,4.085,0.24186
2022-10-21,4.35843,4.057,0.30143
2022-10-20,4.32457,4.0829,0.24167
2022-10-19,4.27757,4.0444,0.23317
2022-10-18,4.24257,4.001,0.24157
2022-10-17,4.22657,3.9928,0.23377
2022-10-14,4.19371,3.9813,0.21241
2022-10-13,4.07914,3.9721,0.10704
2022-10-12,4.01086,3.8734,0.13746
2022-10-11,3.94071,3.8408,0.09991
2022-10-10,3.91914,3.826,0.09314
2022-10-07,3.90871,3.8162,0.09251
2022-10-06,3.82571,3.7845,0.04121
2022-10-05,3.784,3.722,0.062
2022-10-04,3.74071,3.6883,0.05241
2022-10-03,3.74829,3.6677,0.08059
2022-09-30,3.75471,3.6574,0.09731
2022-09-29,3.74286,3.6325,0.11036
2022-09-28,3.67414,3.5897,0.08444
2022-09-27,3.64186,3.5814,0.06046
2022-09-26,3.64086,3.6004,0.04046
2022-09-23,3.62843,3.584,0.04443
2022-09-22,3.64143,3.577,0.06443
2022-09-21,3.60386,3.5221,0.08176
2022-09-20,3.60171,3.5358,0.06591
2022-09-16,3.56529,3.4924,0.07289
2022-09-15,3.52714,3.4841,0.04304
2022-09-14,3.48343,3.4239,0.05953
2022-09-13,3.29257,3.4116,-0.11903
2022-09-12,3.27014,3.2575,0.01264
2022-09-09,3.24543,3.2316,0.01383
2022-09-08,3.23571,3.2,0.03571
2022-09-07,3.194,3.135,0.059
2022-09-06,3.16786,3.1132,0.05466
2022-09-02,3.15814,3.0495,0.10864
2022-09-01,3.14414,3.0815,0.06264
2022-08-31,3.09971,3.0283,0.07141
2022-08-30,3.08214,3.005,0.07714
2022-08-26,3.06957,2.9634,0.10617
2022-08-25,3.04314,2.9507,0.09244
2022-08-24,3.01,2.9258,0.0842
2022-08-23,2.99686,2.883,0.11386
2022-08-22,2.97971,2.8835,0.09621
2022-08-19,2.95771,2.837,0.12071
2022-08-18,2.984,2.8196,0.1644
2022-08-17,2.97657,2.7948,0.18177
2022-08-16,2.96057,2.7805,0.18007
2022-08-15,2.94186,2.7653,0.17656
2022-08-12,2.92157,2.7611,0.16047
2022-08-11,2.90514,2.7444,0.16074
2022-08-10,2.92271,2.7334,0.18931
2022-08-09,2.921,2.7757,0.1453
2022-08-08,2.91157,2.739,0.17257
2022-08-05,2.86671,2.7299,0.13681
2022-08-04,2.86329,2.6571,0.20619
2022-08-03,2.83229,2.6512,0.18109
2022-08-02,2.807,2.6275,0.1795
2022-08-01,2.80214,2.5965,0.20564
2022-07-29,2.78829,2.5988,0.18949
2022-07-28,2.78229,2.5872,0.19509
2022-07-27,2.80586,2.5855,0.22036
2022-07-26,2.79286,2.598,0.19486
2022-07-25,2.76929,2.582,0.18729
2022-07-22,2.76629,2.5571,0.20919
2022-07-21,2.783,2.5732,0.2098
2022-07-20,2.759,2.5498,0.2092
2022-07-19,2.73171,2.5363,0.19541
2022-07-18,2.70986,2.5052,0.20466
2022-07-15,2.73757,2.4889,0.24867
2022-07-14,2.74029,2.5231,0.21719
2022-07-13,2.512,2.5694,-0.0574
2022-07-12,2.483,2.3582,0.1248
2022-07-11,2.45514,2.3423,0.11284
2022-07-08,2.423,2.3257,0.0973
2022-07-07,2.42757,2.2783,0.14927
2022-07-06,2.39057,2.2646,0.12597
2022-07-05,2.34829,2.2016,0.14669
2022-07-01,2.29286,2.1925,0.10036
2022-06-30,2.28514,2.1817,0.10344
2022-06-29,2.27714,2.1494,0.12774
2022-06-28,2.25043,2.1247,0.12573
2022-06-27,2.23157,2.1255,0.10607
2022-06-24,2.23443,2.0965,0.13793
2022-06-23,2.19729,2.1021,0.09519
2022-06-22,2.18457,2.0789,0.10567
2022-06-21,2.15443,2.0469,0.10753
2022-06-17,2.09586,2.022,0.07386
2022-06-16,2.06343,2.0079,0.05553
2022-06-15,2.02957,1.9775,0.05207
2022-06-14,2.00329,1.9717,0.03159
2022-06-13,1.82886,1.8982,-0.06934
2022-06-10,1.74471,1.6798,0.06491
2022-06-09,1.72129,1.6008,0.12049
2022-06-08,1.68771,1.5665,0.12121
2022-06-07,1.69043,1.543,0.14743
2022-06-06,1.665,1.5337,0.1313
2022-06-01,1.626,1.4865,0.1395
2022-05-31,1.61071,1.4552,0.15551
2022-05-27,1.59786,1.434,0.16386
