Date,GER 10Y Bid YTM,SMAVG (50),SMAVG (100),SMAVG (250)
2022-11-01,2.131,1.946,1.572,0.832
2022-10-31,2.142,1.93,1.568,0.823
2022-10-28,2.103,1.913,1.563,0.813
2022-10-27,1.962,1.895,1.557,0.804
2022-10-26,2.111,1.878,1.552,0.795
2022-10-25,2.17,1.858,1.544,0.785
2022-10-24,2.33,1.834,1.535,0.775
2022-10-21,2.417,1.805,1.525,0.765
2022-10-20,2.404,1.776,1.514,0.755
2022-10-19,2.376,1.748,1.502,0.745
2022-10-18,2.285,1.718,1.49,0.735
2022-10-17,2.269,1.691,1.479,0.725
2022-10-14,2.346,1.663,1.466,0.716
2022-10-13,2.287,1.636,1.453,0.705
2022-10-12,2.314,1.606,1.44,0.696
2022-10-11,2.298,1.577,1.426,0.686
2022-10-10,2.342,1.547,1.413,0.677
2022-10-07,2.194,1.516,1.399,0.667
2022-10-06,2.085,1.489,1.387,0.657
2022-10-05,2.034,1.463,1.376,0.649
2022-10-04,1.871,1.442,1.366,0.64
2022-10-03,1.917,1.423,1.357,0.632
2022-09-30,2.108,1.405,1.348,0.623
2022-09-29,2.181,1.383,1.336,0.614
2022-09-28,2.12,1.364,1.323,0.605
2022-09-27,2.231,1.347,1.311,0.596
2022-09-26,2.115,1.328,1.299,0.587
2022-09-23,2.024,1.31,1.289,0.578
2022-09-22,1.965,1.292,1.28,0.569
2022-09-21,1.893,1.276,1.271,0.56
2022-09-20,1.926,1.261,1.261,0.552
2022-09-19,1.805,1.245,1.252,0.543
2022-09-16,1.756,1.234,1.243,0.535
2022-09-15,1.77,1.226,1.235,0.527
2022-09-14,1.716,1.217,1.226,0.519
2022-09-13,1.73,1.207,1.217,0.512
2022-09-12,1.653,1.196,1.208,0.504
2022-09-09,1.698,1.189,1.2,0.496
2022-09-08,1.717,1.18,1.193,0.488
2022-09-07,1.577,1.172,1.185,0.48
2022-09-06,1.638,1.171,1.178,0.472
2022-09-05,1.563,1.171,1.171,0.465
2022-09-02,1.525,1.171,1.163,0.457
2022-09-01,1.561,1.169,1.156,0.45
2022-08-31,1.541,1.166,1.148,0.442
2022-08-30,1.511,1.168,1.141,0.435
2022-08-29,1.504,1.174,1.133,0.428
2022-08-26,1.39,1.178,1.125,0.42
2022-08-25,1.317,1.184,1.117,0.413
2022-08-24,1.37,1.192,1.11,0.407
2022-08-23,1.319,1.197,1.101,0.4
2022-08-22,1.306,1.206,1.094,0.393
2022-08-19,1.23,1.213,1.086,0.386
2022-08-18,1.102,1.218,1.08,0.38
2022-08-17,1.083,1.225,1.076,0.374
2022-08-16,0.971,1.23,1.071,0.368
2022-08-15,0.9,1.237,1.067,0.362
2022-08-12,0.987,1.245,1.063,0.357
2022-08-11,0.971,1.251,1.058,0.351
2022-08-10,0.888,1.256,1.053,0.346
2022-08-09,0.921,1.262,1.049,0.34
2022-08-08,0.899,1.266,1.044,0.334
2022-08-05,0.955,1.269,1.038,0.329
2022-08-04,0.803,1.27,1.033,0.323
2022-08-03,0.874,1.273,1.028,0.318
2022-08-02,0.82,1.275,1.023,0.313
2022-08-01,0.779,1.278,1.017,0.307
2022-07-29,0.817,1.283,1.012,0.303
2022-07-28,0.826,1.285,1.006,0.297
2022-07-27,0.946,1.288,0.999,0.292
2022-07-26,0.925,1.289,0.99,0.287
2022-07-25,1.018,1.292,0.98,0.281
2022-07-22,1.031,1.29,0.97,0.275
2022-07-21,1.223,1.289,0.96,0.269
2022-07-20,1.257,1.281,0.947,0.262
2022-07-19,1.277,1.275,0.935,0.255
2022-07-18,1.215,1.27,0.925,0.248
2022-07-15,1.133,1.268,0.915,0.242
2022-07-14,1.178,1.268,0.905,0.235
2022-07-13,1.145,1.265,0.896,0.229
2022-07-12,1.132,1.261,0.887,0.222
2022-07-11,1.246,1.258,0.877,0.216
2022-07-08,1.345,1.252,0.867,0.21
2022-07-07,1.318,1.244,0.856,0.203
2022-07-06,1.206,1.236,0.846,0.196
2022-07-05,1.179,1.228,0.837,0.189
2022-07-04,1.333,1.221,0.828,0.183
2022-07-01,1.232,1.211,0.818,0.177
2022-06-30,1.336,1.205,0.808,0.17
2022-06-29,1.519,1.198,0.797,0.164
2022-06-28,1.628,1.184,0.784,0.157
2022-06-27,1.547,1.17,0.77,0.149
2022-06-24,1.442,1.156,0.756,0.141
2022-06-23,1.428,1.142,0.742,0.135
2022-06-22,1.638,1.13,0.728,0.128
2022-06-21,1.771,1.113,0.712,0.12
2022-06-20,1.749,1.092,0.693,0.112
2022-06-17,1.661,1.071,0.675,0.105
2022-06-16,1.714,1.05,0.658,0.097
2022-06-15,1.644,1.028,0.64,0.089
2022-06-14,1.758,1.006,0.623,0.082
2022-06-13,1.632,0.982,0.604,0.075
2022-06-10,1.516,0.96,0.588,0.067
2022-06-09,1.43,0.942,0.572,0.06
2022-06-08,1.354,0.926,0.558,0.054
2022-06-07,1.293,0.911,0.544,0.048
2022-06-06,1.322,0.897,0.531,0.042
2022-06-03,1.273,0.881,0.517,0.036
2022-06-02,1.237,0.865,0.503,0.03
2022-06-01,1.187,0.85,0.491,0.024
2022-05-31,1.122,0.836,0.479,0.018
2022-05-30,1.055,0.821,0.467,0.013
2022-05-27,0.963,0.808,0.456,0.007
2022-05-26,0.998,0.796,0.445,0.003
2022-05-25,0.952,0.783,0.434,-0.002
2022-05-24,0.967,0.771,0.423,-0.007
2022-05-23,1.017,0.757,0.412,-0.012
2022-05-20,0.944,0.742,0.4,-0.016
2022-05-19,0.949,0.727,0.389,-0.021
2022-05-18,1.03,0.711,0.377,-0.026
2022-05-17,1.046,0.69,0.364,-0.03
