Date,EURO STOXX Vol Closing,SMAVG (50),SMAVG (100),SMAVG (250)
2022-11-01,24.8305,28.1253,27.2511,27.3809
2022-10-31,24.8904,28.1761,27.3209,27.3539
2022-10-28,25.8725,28.1699,27.3486,27.3231
2022-10-27,26.9479,28.1058,27.3296,27.2852
2022-10-26,27.6175,28.0217,27.2915,27.2413
2022-10-25,28.6794,27.8961,27.2512,27.1967
2022-10-24,27.8325,27.7543,27.1941,27.1495
2022-10-21,27.7451,27.6219,27.1497,27.1081
2022-10-20,28.302,27.5,27.1062,27.0676
2022-10-19,28.9165,27.3697,27.0775,27.0248
2022-10-18,29.2711,27.2571,27.0409,26.9768
2022-10-17,29.766,27.1134,26.9854,26.9243
2022-10-14,30.2048,26.9751,26.9263,26.8704
2022-10-13,31.8224,26.8201,26.8809,26.8152
2022-10-12,32.0131,26.6304,26.8369,26.7549
2022-10-11,31.8717,26.4656,26.8029,26.6908
2022-10-10,29.9234,26.2875,26.7599,26.6285
2022-10-07,29.1714,26.1351,26.7473,26.5773
2022-10-06,29.8599,26.0027,26.7502,26.526
2022-10-05,29.2679,25.8864,26.7279,26.4745
2022-10-04,30.7147,25.8124,26.6977,26.4368
2022-10-03,30.7092,25.6887,26.6727,26.3969
2022-09-30,33.0733,25.5557,26.6567,26.3548
2022-09-29,31.3435,25.4053,26.65,26.3036
2022-09-28,31.3224,25.3265,26.6478,26.2623
2022-09-27,30.7535,25.2344,26.6847,26.2344
2022-09-26,29.9959,25.2006,26.7362,26.2003
2022-09-23,27.9968,25.1771,26.7643,26.181
2022-09-22,27.2697,25.2535,26.812,26.1652
2022-09-21,27.1557,25.3051,26.8516,26.1491
2022-09-20,26.1867,25.3472,26.8939,26.1363
2022-09-19,26.4308,25.4008,26.9727,26.1311
2022-09-16,25.3479,25.4232,27.0161,26.1088
2022-09-15,26.2438,25.4826,27.0754,26.0947
2022-09-14,26.041,25.5599,27.1404,26.0723
2022-09-13,24.6249,25.6712,27.2071,26.0593
2022-09-12,24.8838,25.745,27.2755,26.0629
2022-09-09,25.9173,25.8226,27.3101,26.0692
2022-09-08,27.1301,25.8999,27.2963,26.0582
2022-09-07,27.3521,25.9195,27.2748,26.0363
2022-09-06,27.7853,25.9061,27.2757,26.0137
2022-09-05,25.5031,25.8908,27.2653,25.9844
2022-09-02,29.1451,25.9361,27.2987,25.9653
2022-09-01,27.9451,25.9374,27.3074,25.9302
2022-08-31,28.3703,25.9521,27.3303,25.897
2022-08-30,28.4642,25.947,27.3539,25.8655
2022-08-29,26.6601,25.9495,27.3946,25.826
