Date,IV on 6m EUR/USD Options Mid Price,SMAVG (50),SMAVG (100),SMAVG (250)
2022-11-02,10.67,10.77955,10.25887,8.43068
2022-11-01,10.665,10.77565,10.2447,8.41269
2022-10-31,10.66,10.7694,10.23225,8.39535
2022-10-28,10.525,10.76865,10.21915,8.37697
2022-10-27,10.365,10.76535,10.19868,8.35874
2022-10-26,10.205,10.75545,10.1749,8.34087
2022-10-25,10.515,10.74375,10.15275,8.32336
2022-10-24,11.01,10.7228,10.12718,8.30387
2022-10-21,11.185,10.6899,10.09562,8.28222
2022-10-20,11.1275,10.63995,10.06168,8.25991
2022-10-19,11.1575,10.5882,10.0286,8.23782
2022-10-18,10.8825,10.53855,9.99595,8.21568
2022-10-17,11.1375,10.5044,9.96488,8.19512
2022-10-14,11.525,10.46925,9.93035,8.17359
2022-10-13,11.6525,10.42865,9.89462,8.15056
2022-10-12,11.885,10.3897,9.8605,8.12624
2022-10-11,11.96,10.35365,9.8252,8.10091
2022-10-10,11.915,10.31015,9.7891,8.07526
2022-10-07,11.715,10.2638,9.75305,8.04981
2022-10-06,11.66,10.22755,9.71985,8.02449
2022-10-05,11.6125,10.1958,9.68933,7.99942
2022-10-04,11.12,10.1667,9.66105,7.97462
2022-10-03,11.5975,10.152,9.63525,7.95229
2022-09-30,12.06,10.12495,9.60865,7.92797
2022-09-29,11.8875,10.092,9.58005,7.9017
2022-09-28,11.9175,10.06225,9.55618,7.8761
2022-09-27,11.63,10.0338,9.52345,7.85054
2022-09-26,11.685,10.0125,9.4968,7.82627
2022-09-23,11.16,9.9942,9.47392,7.80137
2022-09-22,10.2325,9.98635,9.45352,7.77784
2022-09-21,10.19,10.0049,9.44145,7.75815
2022-09-20,10.1025,10.01165,9.4264,7.73908
2022-09-19,10.15,10.02005,9.41442,7.71946
2022-09-16,10.1325,10.02975,9.40207,7.69967
2022-09-15,10.05,10.02875,9.3875,7.68002
2022-09-14,9.775,10.0293,9.37632,7.66085
2022-09-13,9.87,10.04205,9.3648,7.64289
2022-09-12,9.6225,10.04505,9.34772,7.62387
2022-09-09,9.755,10.03665,9.32895,7.60574
2022-09-08,9.9625,10.02845,9.3086,7.58717
2022-09-07,10.335,10.0083,9.2851,7.56794
2022-09-06,10.3425,9.9774,9.25632,7.54758
2022-09-05,10.45,9.93965,9.22735,7.52737
2022-09-02,10.2425,9.897,9.19745,7.50713
2022-09-01,10.285,9.8631,9.16922,7.48712
2022-08-31,9.9675,9.83305,9.14058,7.46682
2022-08-30,10.105,9.8098,9.11415,7.44737
2022-08-29,10.185,9.78445,9.0864,7.42731
2022-08-26,9.93,9.76515,9.05908,7.40737
2022-08-25,10.205,9.754,9.03543,7.38834
2022-08-24,10.475,9.7382,9.01052,7.36833
2022-08-23,10.3525,9.71375,8.98448,7.34736
2022-08-22,10.6225,9.6951,8.95815,7.32641
2022-08-19,10.36,9.66965,8.92593,7.3045
2022-08-18,9.87,9.632,8.89478,7.28392
2022-08-17,9.62,9.59435,8.86872,7.2655
2022-08-16,9.4675,9.56175,8.84363,7.24843
2022-08-15,9.365,9.53155,8.8208,7.232
2022-08-12,8.6875,9.50135,8.8022,7.21604
2022-08-11,8.54,9.4834,8.78895,7.20296
2022-08-10,8.675,9.469,8.77755,7.19051
2022-08-09,9.175,9.45335,8.76493,7.17738
